STNAME,CTYNAME,TOT_POP,NHWA,NHBA,H,NHWA_perc,NHBA_perc,H_perc
Alaska,Kusilvak Census Area,8314,281,32,249,3.379841231657446,0.38489295164782295,2.9949482800096225
Alaska,Lake and Peninsula Borough,1592,355,20,55,22.298994974874372,1.2562814070351758,3.4547738693467336
Alaska,Matanuska-Susitna Borough,108317,85160,1303,5613,78.62108440964946,1.2029505987056508,5.1820120572024715
Alaska,Nome Census Area,10004,1487,79,288,14.8640543782487,0.7896841263494603,2.8788484606157536
Alaska,North Slope Borough,9832,3043,150,426,30.949959316517486,1.5256305939788446,4.332790886899919
Alaska,Northwest Arctic Borough,7621,812,99,281,10.654769715260462,1.2990421204566331,3.687180160083978
Alaska,Petersburg Borough,3266,2317,53,188,70.94304960195959,1.6227801592161666,5.7562767911818735
Alaska,Prince of Wales-Hyder Census Area,6203,2788,35,241,44.94599387393197,0.5642431081734643,3.885216830565856
Alaska,Sitka City and Borough,8493,5236,74,629,61.65077122336041,0.8713057812316025,7.406099140468621
Alaska,Skagway Municipality,1183,956,10,79,80.81149619611158,0.8453085376162299,6.677937447168218
Alaska,Southeast Fairbanks Census Area,6893,4992,122,482,72.42129696793847,1.7699115044247788,6.9926011896126505
Alaska,Valdez-Cordova Census Area,9202,6327,75,518,68.75679200173875,0.8150402086502935,5.629211041078026
Alaska,Wrangell City and Borough,2502,1666,15,76,66.58673061550759,0.5995203836930456,3.037569944044764
Alaska,Yakutat City and Borough,579,182,12,27,31.433506044905005,2.0725388601036268,4.66321243523316
Alaska,Yukon-Koyukuk Census Area,5230,1159,42,164,22.16061185468451,0.8030592734225621,3.1357552581261947
Arizona,Apache County,71887,12935,356,4736,17.993517604017423,0.4952216673390181,6.588117462128063
Arizona,Cochise County,125922,68968,4847,44988,54.770413430536365,3.8492082400216012,35.726878543860494
Arizona,Coconino County,143476,77608,1855,20542,54.09127658981293,1.2928991608352616,14.317377122306173
