STNAME,CTYNAME,NHWA,NHBA,NHIA,NHAA,NHNA,H,NHWA_perc,NHBA_perc,NHIA_perc,NHAA_perc,NHNA_perc,H_perc
North Dakota,Adams County,2044,21,16,61,1,35,92.23826714801443,0.9476534296028881,0.7220216606498195,2.7527075812274364,0.04512635379061372,1.57942238267148
North Dakota,Barnes County,9636,182,103,94,5,230,92.52040326452233,1.7474795967354777,0.9889582333173308,0.9025444071051367,0.04800768122899664,2.208353336533845
North Dakota,Benson County,2766,31,3603,17,1,278,40.48594847775176,0.45374707259953173,52.737119437939114,0.24882903981264637,0.014637002341920375,4.069086651053864
North Dakota,Billings County,853,0,6,38,1,24,91.91810344827587,0.0,0.646551724137931,4.094827586206897,0.10775862068965517,2.586206896551724
North Dakota,Bottineau County,5729,46,195,32,0,141,91.19707099649794,0.7322508755173511,3.104106972301815,0.5093919134033748,0.0,2.24450811843362
North Dakota,Bowman County,2781,6,42,3,0,165,91.96428571428572,0.19841269841269837,1.3888888888888888,0.09920634920634919,0.0,5.456349206349206
North Dakota,Burke County,1954,15,33,13,2,63,92.38770685579198,0.7092198581560284,1.5602836879432624,0.6146572104018913,0.09456264775413713,2.9787234042553195
North Dakota,Burleigh County,84380,2189,3840,854,82,2634,88.23960010875703,2.289126388220777,4.015644280844121,0.8930625562085626,0.08575073724719218,2.7544809988915144
North Dakota,Cass County,153506,11361,2256,6088,71,5135,84.37965512881823,6.244949786448112,1.2400850909450702,3.3464707596070866,0.03902750064587765,2.8226227579800245
North Dakota,Cavalier County,3554,16,66,16,2,54,94.47102604997343,0.4253056884635832,1.7543859649122806,0.4253056884635832,0.05316321105794791,1.4354066985645932
North Dakota,Dickey County,4535,36,30,29,1,168,93.08292282430216,0.7389162561576356,0.6157635467980296,0.5952380952380952,0.020525451559934318,3.4482758620689653
North Dakota,Divide County,2057,44,17,42,0,65,90.85689045936397,1.9434628975265016,0.7508833922261484,1.8551236749116609,0.0,2.871024734982332
